sku,store_view_code,attribute_set_code,product_type,series_name,model,categories,brand_name,manufacturer,product_websites,name,short_description,description,weight,length,width,height,primary_battery,display,wireless,memory,keyboard,video_card,hard_drive,optical_drive,power_cord,documentation,hard_drive_software,color_choice,packaging,processor_label,power_supply,carrying_cases,warranty,product_online,tax_class_name,visibility,price,colors,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
NS14N1IN004P,,Default,simple,SU,NS14N1IN004P,,Nexstgo,Nexstgo,base,"14"" FHD/Intel Core i3-7130U/ 8GB RAM/ 1TB 5400rpm/DVDRW/ WiFi+BT/ Win 10 Pro","Nexstgo SU series, derived from ? Start-Up?, is abusiness class laptop PC built and engineered tosuit the needs of start-ups and SMBs to the fullest.","Nexstgo SU series, derived from ? Start-Up?, is abusiness class laptop PC built and engineered tosuit the needs of start-ups and SMBs to the fullest.<br/><table><tr><th>Weight</th><td>2.15</td></tr><tr><th>Length</th><td>24.8</td><th>Width</th><td>34</td></tr><tr><th>Height</th><td>24.4</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>14? FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>4GB / 8GB (max. 16GB x 2)</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? HD Graphics</td><th>Hard Drive</th><td>1TB SATA or Hybrid 128SSD / 256SSD + 500GB/1TB</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Mechanical Hard Drive</td></tr><tr><th>Color Choice</th><td>Black</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td>Intel Core i3</td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",2.15,24.8,34,24.4,"4-cell, 44 Whr",14? FHD (1920x1080) IPS,"Dual Band Wireless-AC, Bluetooth 4.1",4GB / 8GB (max. 16GB x 2),island-type Keyboard (with Backlit - Optional),Intel? HD Graphics,1TB SATA or Hybrid 128SSD / 256SSD + 500GB/1TB,Not Included,Included,User Guide,Mechanical Hard Drive,Black,Standard Packaging,Intel Core i3,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",50570,black,,,,"14""-fhd-intel-core-i3-7130u-8gb-ram-1tb-5400rpm-dvdrw-wifi-bt-win-10-pro",,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NS14N1IN003P,,Default,simple,SU,NS14N1IN003P,,Nexstgo,Nexstgo,base,"14"" FHD/Intel Core i3-7130U/ 8GB RAM/ 128GB SSD/ 1TB 5400rpm/ WiFi+BT/ Win 10 Pro ","Nexstgo SU series, derived from ? Start-Up?, is abusiness class laptop PC built and engineered tosuit the needs of start-ups and SMBs to the fullest.","Nexstgo SU series, derived from ? Start-Up?, is abusiness class laptop PC built and engineered tosuit the needs of start-ups and SMBs to the fullest.<br/><table><tr><th>Weight</th><td>2.15</td></tr><tr><th>Length</th><td>24.8</td><th>Width</th><td>34</td></tr><tr><th>Height</th><td>24.4</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>14? FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>4GB / 8GB (max. 16GB x 2)</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? HD Graphics</td><th>Hard Drive</th><td>1TB SATA or Hybrid 128SSD / 256SSD + 500GB/1TB</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Mechanical Hard Drive</td></tr><tr><th>Color Choice</th><td>Black</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td>Intel Core i3</td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",2.15,24.8,34,24.4,"4-cell, 44 Whr",14? FHD (1920x1080) IPS,"Dual Band Wireless-AC, Bluetooth 4.1",4GB / 8GB (max. 16GB x 2),island-type Keyboard (with Backlit - Optional),Intel? HD Graphics,1TB SATA or Hybrid 128SSD / 256SSD + 500GB/1TB,Not Included,Included,User Guide,Mechanical Hard Drive,Black,Standard Packaging,Intel Core i3,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",51870,black,,,,"14""-fhd-intel-core-i3-7130u-8gb-ram-128gb-ssd-1tb-5400rpm-wifi-bt-win-10-pro",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP14N1IN001P,,Default,simple,Primus,NP14N1IN001P,,Nexstgo,Nexstgo,base,"14"" i5-8250U 8GB 256GB SSD;FHD Cam;BT;Win10Pro;FPT ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>14? FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Silver</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.35,23.2,33.5,20.5,"4-cell, 44 Whr",14? FHD (1920x1080) IPS,"Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,256GB or 512GB SSD,Not Included,Included,User Guide,Flash Memory Solid State,Silver,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",94490,silver,,,,"14""-i5-8250u-8gb-256gb-ssd-fhd-cam-bt-win10pro-fpt",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP14N1IN002P,,Default,simple,Primus,NP14N1IN002P,,Nexstgo,Nexstgo,base,"14"" i5-8250U 16GB 512GB SSD;FHD/IR Cam; BT,FPT reader;Win10Pro ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>14? FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Silver</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.35,23.2,33.5,20.5,"4-cell, 44 Whr",14? FHD (1920x1080) IPS,"Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,256GB or 512GB SSD,Not Included,Included,User Guide,Flash Memory Solid State,Silver,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",116490,silver,,,,"14""-i5-8250u-16gb-512gb-ssd-fhd-ir-cam-bt-fpt-reader-win10pro",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP14N1IN003P,,Default,simple,Primus,NP14N1IN003P,,Nexstgo,Nexstgo,base,"14"" i7-8550U 8GB 256GB SSD;FHD Cam;BT;Win10Pro;FPT ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>14? FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Silver</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.35,23.2,33.5,20.5,"4-cell, 44 Whr",14? FHD (1920x1080) IPS,"Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,256GB or 512GB SSD,Not Included,Included,User Guide,Flash Memory Solid State,Silver,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",103990,silver,,,,"14""-i7-8550u-8gb-256gb-ssd-fhd-cam-bt-win10pro-fpt",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP14N1IN004P,,Default,simple,Primus,NP14N1IN004P,,Nexstgo,Nexstgo,base,"14"" i7-8550U 16GB 512GB SSD;FHD Cam;BT;FPT Reader;Win10Pro ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.35</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>14? FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Silver</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.35,23.2,33.5,20.5,"4-cell, 44 Whr",14? FHD (1920x1080) IPS,"Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,256GB or 512GB SSD,Not Included,Included,User Guide,Flash Memory Solid State,Silver,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",125490,silver,,,,"14""-i7-8550u-16gb-512gb-ssd-fhd-cam-bt-fpt-reader-win10pro",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP15N1IN001P,,Default,simple,Primus,NP15N1IN001P,,Nexstgo,Nexstgo,base,"15.6"" i5-8250U 8GB 256GB SSD;FHD Cam;BT;Win10Pro;FPR ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.88</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>15"" FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Dark Grey</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.88,23.2,33.5,20.5,"4-cell, 44 Whr","15"" FHD (1920x1080) IPS","Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,"256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)",Not Included,Included,User Guide,Flash Memory Solid State,Dark Grey,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",89490,dark gray,,,,"15.6""-i5-8250u-8gb-256gb-ssd-fhd-cam-bt-win10pro-fpr ",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP15N1IN002P,,Default,simple,Primus,NP15N1IN002P,,Nexstgo,Nexstgo,base,"15.6"" i5-8250U 16GB 512GB SSD;FHD Cam;BT;Win10Pro;FPR ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.88</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>15"" FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Dark Grey</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.88,23.2,33.5,20.5,"4-cell, 44 Whr","15"" FHD (1920x1080) IPS","Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,"256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)",Not Included,Included,User Guide,Flash Memory Solid State,Dark Grey,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",110990,dark gray,,,,"15.6""-i5-8250u-16gb-512gb-ssd-fhd-cam-bt-win10pro-fpr ",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP15N1IN003P,,Default,simple,Primus,NP15N1IN003P,,Nexstgo,Nexstgo,base,"15.6"" i7-8550U 8GB 256GB SSD;FHD Cam;BT;Win10Pro;FPR ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.88</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>15"" FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Dark Grey </td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.88,23.2,33.5,20.5,"4-cell, 44 Whr","15"" FHD (1920x1080) IPS","Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,"256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)",Not Included,Included,User Guide,Flash Memory Solid State,Dark Grey ,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",98990,dark gray,,,,"15.6""-i7-8550u-8gb-256gb-ssd-fhd-cam-bt-win10pro-fpr ",,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP15N1IN004P,,Default,simple,Primus,NP15N1IN004P,,Nexstgo,Nexstgo,base,"15.6"" i7-8550U 8GB 256GB SSD; 1TB HDD; FHD Cam;BT;Win10Pro;FPR ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.88</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>15"" FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Dark Grey</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.88,23.2,33.5,20.5,"4-cell, 44 Whr","15"" FHD (1920x1080) IPS","Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,"256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)",Not Included,Included,User Guide,Flash Memory Solid State,Dark Grey,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",104490,dark gray,,,,15.6-i7-8550u-8gb-256gb-ssd-1tb-hdd-fhd-cam-bt-win10pro-fpr,,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
NP15N1IN005P,,Default,simple,Primus,NP15N1IN005P,,Nexstgo,Nexstgo,base,"15.6"" i7-8550U 16GB 512GB SSD;FHD Cam;BT;Win10Pro;FPR ","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.","Nexstgo Primus series are highly portable and strong. Built with world-class quality and reliability, Primus gives you confidence and assurance for your IT investment.<br/><table><tr><th>Weight</th><td>1.88</td></tr><tr><th>Length</th><td>23.2</td><th>Width</th><td>33.5</td></tr><tr><th>Height</th><td>20.5</td><th>Primary Battery</th><td>4-cell, 44 Whr</td></tr><tr><th>Display</th><td>15"" FHD (1920x1080) IPS</td><th>Wireless</th><td>Dual Band Wireless-AC, Bluetooth 4.1</td></tr><tr><th>Memory</th><td>8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable</td><th>Keyboard</th><td>island-type Keyboard (with Backlit - Optional)</td></tr><tr><th>Video Card</th><td>Intel? UHD 620</td><th>Hard Drive</th><td>256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)</td></tr><tr><th>Optical Drive</th><td>Not Included</td><th>Power Cord</th><td>Included</td></tr><tr><th>Documentation</th><td>User Guide</td><th>Hard Drive Software</th><td>Flash Memory Solid State</td></tr><tr><th>Color Choice</th><td>Dark Grey</td><th>Packaging</th><td>Standard Packaging</td></tr><tr><th>Processor Label</th><td></td><th>Power Supply</th><td>Indian Plug</td></tr><tr><th>Carrying Cases</th><td>NA</td><th>Warranty</th><td>3 Years</td></tr></table>",1.88,23.2,33.5,20.5,"4-cell, 44 Whr","15"" FHD (1920x1080) IPS","Dual Band Wireless-AC, Bluetooth 4.1","8GB / 16GB (32 GB max) 2400MHz DDR4, dual-channel capable",island-type Keyboard (with Backlit - Optional),Intel? UHD 620,"256GB or 512GB SSD
500GB or 1TB HDD (optional)
32GB Intel? Optane? capable (optional)",Not Included,Included,User Guide,Flash Memory Solid State,Dark Grey,Standard Packaging,,Indian Plug,NA,3 Years,1,Taxable Goods,"Catalog, Search",120990,dark gray,,,,15.6-i7-8550u-16gb-512gb-ssd-fhd-cam-bt-win10pro-fpr,,,,,,,,Block after Info Column,,,,,,,,,,,,,,10,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
